episode,timestep,reward
5,2000,-129.6673
15,4000,-157.5843
27,6000,-78.9612
35,8000,-106.1742
46,10000,-81.2648
50,12000,-304.5604
62,14000,-127.8611
70,16000,-98.4193
83,18000,-82.0475
90,20000,-195.9654
113,22000,-57.6707
124,24000,-103.1386
146,26000,-55.7183
148,28000,-346.1101
163,30000,-113.6867
186,32000,-40.5681
197,34000,-107.028
211,36000,-111.3318
223,38000,-79.2885
238,40000,-68.9736
246,42000,-137.0764
266,44000,-88.5046
281,46000,-67.4229
291,48000,-126.7246
308,50000,-88.3686
322,52000,-47.4351
330,54000,-200.8183
337,56000,-238.8611
347,58000,-122.8557
361,60000,-82.5756
383,62000,-66.9379
400,64000,-84.7037
406,66000,-248.7595
420,68000,-94.692
444,70000,-60.588
456,72000,-83.8764
473,74000,-90.2037
479,76000,-268.3402
494,78000,-56.8294
523,80000,-73.0879
533,82000,-120.0666
553,84000,-61.4814
579,86000,-58.1769
596,88000,-86.0746
619,90000,-65.196
625,92000,-135.5147
641,94000,-115.4807
647,96000,-146.2032
673,98000,-60.4859
698,100000,-67.1236
721,102000,-59.6619
725,104000,-394.9532
733,106000,-117.9773
750,108000,-88.4266
761,110000,-99.272
796,112000,-66.1622
833,114000,-40.0579
854,116000,-71.763
863,118000,-118.134
885,120000,-95.8409
902,122000,-62.788
918,124000,-90.6287
927,126000,-203.1798
942,128000,-104.4553
950,130000,-233.6979
964,132000,-126.6992
987,134000,-44.7581
1001,136000,-109.4095
1008,138000,-214.2879
1016,140000,-218.9311
1028,142000,-156.4881
1041,144000,-101.5181
1047,146000,-297.1165
1051,148000,-260.2555
1076,150000,-80.5467
1086,152000,-134.5593
1103,154000,-85.5232
1121,156000,-131.3713
1133,158000,-118.0506
